L,T,S,PY,B,D,X,SP,P,Y,HDate,H,SSC
B,B1,0,2011,1,1,1,na,1,2011,2011,2011,13.7
B,B1,0,2011,1,1,1,na,2,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,3,2011,2011,2011,12
B,B1,0,2011,1,1,1,na,4,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,5,2011,2011,2011,11.6
B,B1,0,2011,1,1,1,na,6,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,7,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,8,2011,2011,2011,11.6
B,B1,0,2011,1,1,1,na,9,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,10,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,11,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,12,2011,2011,2011,7.2
B,B1,0,2011,1,1,1,na,13,2011,2011,2011,10.4
B,B1,0,2011,1,1,1,na,14,2011,2011,2011,10.5
B,B1,0,2011,1,1,1,na,15,2011,2011,2011,13.4
B,B1,0,2011,1,1,1,na,16,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,17,2011,2011,2011,10.9
B,B1,0,2011,1,1,1,na,18,2011,2011,2011,14.3
B,B1,0,2011,1,1,1,na,19,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,20,2011,2011,2011,9.2
B,B1,0,2011,1,1,1,na,21,2011,2011,2011,10.2
B,B1,0,2011,1,1,1,na,22,2011,2011,2011,9.2
B,B1,0,2011,1,1,1,na,23,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,24,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,25,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,26,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,27,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,28,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,29,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,30,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,31,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,32,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,33,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,34,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,35,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,36,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,37,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,38,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,39,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,40,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,41,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,42,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,43,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,44,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,45,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,46,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,47,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,48,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,49,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,50,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,51,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,52,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,53,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,54,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,55,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,56,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,57,2011,2011,2011,12.1
B,B1,0,2011,1,1,1,na,58,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,59,2011,2011,2011,11.2
B,B1,0,2011,1,1,1,na,60,2011,2011,2011,13.7
B,B1,0,2011,1,1,1,na,61,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,62,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,63,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,64,2011,2011,2011,9.3
B,B1,0,2011,1,1,1,na,65,2011,2011,2011,9
B,B1,0,2011,1,1,1,na,66,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,67,2011,2011,2011,8.9
B,B1,0,2011,1,1,1,na,68,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,69,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,70,2011,2011,2011,12.4
B,B1,0,2011,1,1,1,na,71,2011,2011,2011,7.1
B,B1,0,2011,1,1,1,na,72,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,73,2011,2011,2011,17.6
B,B1,0,2011,1,1,1,na,74,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,75,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,76,2011,2011,2011,10.4
B,B1,0,2011,1,1,1,na,77,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,78,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,79,2011,2011,2011,12.3
B,B1,0,2011,1,1,1,na,80,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,81,2011,2011,2011,10.5
B,B1,0,2011,1,1,1,na,82,2011,2011,2011,9.5
B,B1,0,2011,1,1,1,na,83,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,84,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,85,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,86,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,87,2011,2011,2011,8.7
B,B1,0,2011,1,1,1,na,88,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,89,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,90,2011,2011,2011,10.1
B,B1,0,2011,1,1,1,na,91,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,92,2011,2011,2011,11.5
B,B1,0,2011,1,1,1,na,93,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,94,2011,2011,2011,9.6
B,B1,0,2011,1,1,1,na,95,2011,2011,2011,NA
